source,source_id,source_ref,latitude,longitude,state,district,location_description,landslide_type,trigger,event_date,temporal_precision,fatalities,injuries,location_accuracy,original_record_reference,valid_coordinates,valid_date,duplicate_source_id,duplicate_coordinates
NASA_GLC,11502,1537380,23.71701896,91.61577214,Tripura,,"Dhanlekha Kaipeng, Gomati district, Tripura, India",landslide,downpour,2018-05-20,day,1,2,1km,The Times of India,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9982,1537439,26.3312531,94.55427723,Nagaland,,"Chuchuyimpang, Mokokchung, Nagaland",landslide,downpour,2017-07-01,day,0,0,1km,WebIndia123,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9829,1537443,27.06992579,93.6146564,Arunachal Pradesh,,,landslide,unknown,2017-06-19,day,1,0,1km,Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9785,1537460,27.54295099,88.59676956,Sikkim,,"Toong-Sankalang road between Saffo and Ship-Gyer, North Sikkim",landslide,rain,2017-05-26,day,0,0,5km,Assam Tribune,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9932,1537464,27.10647226,93.65975252,Arunachal Pradesh,,"Dree Festival Ground, NH-415, Arunachal Pradesh, India",landslide,downpour,2017-07-01,day,0,0,exact,The Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2042,1537501,26.0093,94.5238,Nagaland,,"Zunheboto, Nagaland",mudslide,monsoon,2010-07-06,day,0,0,5km,morungexpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2026,1537526,25.4916,91.2698,Meghalaya,,"Borsorsa(?), West Khasi Hills, Meghalaya",landslide,downpour,2010-06-28,day,0,0,50km,neinews,TRUE,TRUE,FALSE,FALSE
NASA_GLC,247,1537528,25.0604,93.9877,Manipur,,"Lower Shajouba village near Tadubi along NH 39, Manipur",landslide,rain,2007-09-08,day,0,0,50km,kanglaonline.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,5552,1537567,25.0985,94.3619,Manipur,,"Ukhrul, Manipur",landslide,unknown,2013-09-24,day,0,0,5km,www.morungexpress.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1961,1537575,25.8833,91.2,Assam,,"Ishok Chingphu(?), Bishnupur, Assam",landslide,downpour,2010-06-09,day,0,0,50km,e-pao.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6971,1537592,27.0987,93.816,Arunachal Pradesh,,"Itanagar, Arunachal Pradesh",landslide,continuous_rain,2015-06-09,day,2,2,5km,First Post,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9051,1537649,26.09748244,91.8744337,Assam,,"12th Mile area at Jorabat, Meghalaya, India",landslide,unknown,2016-07-19,day,0,1,25km,NELIVE (North East Live),TRUE,TRUE,FALSE,FALSE
NASA_GLC,6107,1537683,26.1844,91.7896,Assam,,Bamunimaidam,landslide,continuous_rain,2014-06-26,day,1,0,5km,Two Circles,TRUE,TRUE,FALSE,FALSE
