source_id,source,latitude,longitude,event_date,spatial_block_id
11502,NASA_GLC,23.71701896,91.61577214,2018-05-20,block_47_183
9982,NASA_GLC,26.3312531,94.55427723,2017-07-01,block_52_189
9829,NASA_GLC,27.06992579,93.6146564,2017-06-19,block_54_187
9785,NASA_GLC,27.54295099,88.59676956,2017-05-26,block_55_177
9932,NASA_GLC,27.10647226,93.65975252,2017-07-01,block_54_187
2042,NASA_GLC,26.0093,94.5238,2010-07-06,block_52_189
2026,NASA_GLC,25.4916,91.2698,2010-06-28,block_50_182
247,NASA_GLC,25.0604,93.9877,2007-09-08,block_50_187
5552,NASA_GLC,25.0985,94.3619,2013-09-24,block_50_188
1961,NASA_GLC,25.8833,91.2,2010-06-09,block_51_182
6971,NASA_GLC,27.0987,93.816,2015-06-09,block_54_187
9051,NASA_GLC,26.09748244,91.8744337,2016-07-19,block_52_183
6107,NASA_GLC,26.1844,91.7896,2014-06-26,block_52_183
4556,NASA_GLC,27.1675,88.3651,2012-09-16,block_54_176
2587,NASA_GLC,25.6623,94.1072,2010-10-10,block_51_188
1102,NASA_GLC,27.2644,88.1365,2009-08-19,block_54_176
7313,NASA_GLC,24.1077,94.0396,2015-08-01,block_48_188
2568,NASA_GLC,24.7679,93.4108,2010-10-08,block_49_186
5300,NASA_GLC,25.318,94.0441,2013-08-09,block_50_188
4861,NASA_GLC,24.9926,93.4946,2013-05-12,block_49_186
5584,NASA_GLC,26.1665,91.7049,2013-10-06,block_52_183
2043,NASA_GLC,26.7225,95.0281,2010-07-06,block_53_190
6786,NASA_GLC,24.6108,92.562,2015-02-19,block_49_185
4848,NASA_GLC,24.0896,91.4663,2013-05-08,block_48_182
2249,NASA_GLC,26.0814,94.803,2010-08-14,block_52_189
7780,NASA_GLC,23.3572,92.7878,2015-08-26,block_46_185
1996,NASA_GLC,26.4333,94.8833,2010-06-17,block_52_189
147,NASA_GLC,22.533,92.899,2007-07-30,block_45_185
130,NASA_GLC,26.1699,91.7986,2007-07-19,block_52_183
11405,NASA_GLC,26.07821691,94.72071068,2018-05-12,block_52_189
11443,NASA_GLC,27.23279809,88.59292517,2018-05-26,block_54_177
10962,NASA_GLC,23.65637182,93.02746602,2017-06-17,block_47_186
11171,NASA_GLC,27.104022,93.61156568,2017-04-26,block_54_187
11178,NASA_GLC,26.96437841,92.78260587,2017-06-18,block_53_185
1111,NASA_GLC,27.1344,88.4575,2009-08-20,block_54_176
4570,NASA_GLC,27.8458,95.2253,2012-09-19,block_55_190
5269,NASA_GLC,25.8376,94.5234,2013-08-04,block_51_189
1127,NASA_GLC,25.1718,93.123,2009-08-27,block_50_186
2112,NASA_GLC,27.5509,88.6475,2010-07-21,block_55_177
9750,NASA_GLC,25.15246863,92.94670614,2017-06-04,block_50_185
2344,NASA_GLC,24.7505,93.4221,2010-08-27,block_49_186
9338,NASA_GLC,24.4638,92.4943,2016-05-18,block_48_184
6016,NASA_GLC,24.8669,92.3576,2014-05-09,block_49_184
869,NASA_GLC,27.2333,94.1167,2008-10-29,block_54_188
3830,NASA_GLC,24.3527,94.3429,2011-07-22,block_48_188
9335,NASA_GLC,24.5202,92.7239,2016-05-18,block_49_185
260,NASA_GLC,27.2084,88.4909,2007-09-11,block_54_176
2182,NASA_GLC,24.9356,93.8443,2010-07-31,block_49_187
3837,NASA_GLC,26.5836,93.0038,2011-07-24,block_53_186
2140,NASA_GLC,25.0477,92.801,2010-07-25,block_50_185
1954,NASA_GLC,24.7543,93.5039,2010-06-07,block_49_187
2426,NASA_GLC,22.7176,92.8416,2010-09-13,block_45_185
9789,NASA_GLC,25.907233,91.881892,2017-05-26,block_51_183
9712,NASA_GLC,23.73354779,92.74744512,2017-06-10,block_47_185
9933,NASA_GLC,27.04768643,93.61899644,2017-06-30,block_54_187
2025,NASA_GLC,25.5728,91.885,2010-06-28,block_51_183
8012,NASA_GLC,25.9703,91.8584,2015-09-06,block_51_183
2392,NASA_GLC,27.3702,88.7334,2010-09-04,block_54_177
2164,NASA_GLC,25.3098633,94.48214677,2010-07-29,block_50_188
4845,NASA_GLC,24.2315,92.6755,2013-05-07,block_48_185
10024,NASA_GLC,25.83762589,93.94633448,2017-06-25,block_51_187
6963,NASA_GLC,23.7131,92.7362,2015-06-19,block_47_185
1222,NASA_GLC,23.73478778,92.72124394,2009-10-05,block_47_185
4859,NASA_GLC,26.1771,91.7599,2013-05-11,block_52_183
8930,NASA_GLC,26.1699,94.4922,2016-07-11,block_52_188
285,NASA_GLC,24.1293,92.6921,2007-09-29,block_48_185
2045,NASA_GLC,26.2363,94.8133,2010-07-06,block_52_189
215,NASA_GLC,25.7428,93.9136,2007-08-28,block_51_187
6513,NASA_GLC,23.0137,91.7174,2014-08-14,block_46_183
10988,NASA_GLC,25.82601444,91.87113067,2017-07-09,block_51_183
11172,NASA_GLC,27.0844941,93.60505989,2017-07-09,block_54_187
11165,NASA_GLC,27.092916,93.61882043,2017-07-09,block_54_187
2341,NASA_GLC,27.2319,88.497,2010-08-26,block_54_176
594,NASA_GLC,24.9336,93.8275,2008-06-19,block_49_187
3813,NASA_GLC,27.1141,88.4658,2011-07-20,block_54_176
2044,NASA_GLC,25.8877,94.7861,2010-07-06,block_51_189
2304,NASA_GLC,25.5718,94.1211,2010-08-21,block_51_188
7388,NASA_GLC,24.416,94.0984,2015-08-01,block_48_188
2425,NASA_GLC,23.3439,93.0748,2010-09-13,block_46_186
2579,NASA_GLC,25.682,94.1076,2010-10-09,block_51_188
4446,NASA_GLC,28.9986,94.8885,2012-07-05,block_57_189
4610,NASA_GLC,23.7705,92.5217,2012-11-11,block_47_185
5275,NASA_GLC,26.1498,94.6055,2013-08-04,block_52_189
2424,NASA_GLC,23.591,92.9296,2010-09-13,block_47_185
78,NASA_GLC,27.3383,88.6069,2007-05-23,block_54_177
9168,NASA_GLC,27.6438,93.871,2016-06-12,block_55_187
4424,NASA_GLC,26.149,91.7351,2012-06-20,block_52_183
9186,NASA_GLC,25.48,94.1383,2016-07-25,block_50_188
4757,NASA_GLC,28.1193,95.1645,2013-02-18,block_56_190
3965,NASA_GLC,24.808,93.117,2011-09-06,block_49_186
6969,NASA_GLC,25.5114,90.215,2015-06-16,block_51_180
6293,NASA_GLC,25.5006,90.0896,2014-10-20,block_51_180
7267,NASA_GLC,25.3908,94.0926,2015-07-22,block_50_188
2248,NASA_GLC,26.222,94.9152,2010-08-14,block_52_189
2422,NASA_GLC,23.74182634,92.7141905,2010-09-13,block_47_185
7214,NASA_GLC,27.36,93.0385,2015-07-15,block_54_186
1929,NASA_GLC,27.3543,88.6428,2010-05-31,block_54_177
7390,NASA_GLC,24.4265,94.1913,2015-08-01,block_48_188
7384,NASA_GLC,23.9278,94.0906,2015-08-01,block_47_188
4383,NASA_GLC,25.3056,93.1265,2012-06-03,block_50_186
6283,NASA_GLC,26.1314,91.7548,2014-09-22,block_52_183
2573,NASA_GLC,25.1796,93.0083,2010-10-09,block_50_186
9604,NASA_GLC,27.2676,88.2891,2016-10-12,block_54_176
7665,NASA_GLC,24.7016,93.5291,2015-08-11,block_49_187
1994,NASA_GLC,25.0633,92.8025,2010-06-16,block_50_185
692,NASA_GLC,25.705,94.04,2008-08-07,block_51_188
259,NASA_GLC,25.52,91.27,2007-09-11,block_51_182
251,NASA_GLC,27.1667,88.35,2007-09-09,block_54_176
5485,NASA_GLC,27.6047,88.6463,2013-09-08,block_55_177
9010,NASA_GLC,27.3034,93.804,2016-07-16,block_54_187
9965,NASA_GLC,26.324724,94.514651,2016-09-05,block_52_189
3943,NASA_GLC,27.13862165,88.22551799,2011-08-23,block_54_176
7369,NASA_GLC,24.1988,94.1016,2015-08-01,block_48_188
9252,NASA_GLC,27.5748,91.8644,2016-07-28,block_55_183
7728,NASA_GLC,26.1028,91.8806,2015-08-22,block_52_183
5274,NASA_GLC,26.0838,94.564,2013-08-04,block_52_189
11175,NASA_GLC,27.82743132,93.62407259,2017-05-03,block_55_187
11158,NASA_GLC,25.69111465,94.09483333,2017-07-12,block_51_188
11604,NASA_GLC,23.40991836,93.36421745,1970-01-01,block_46_186
10960,NASA_GLC,23.725943,92.7178,2016-09-17,block_47_185
11157,NASA_GLC,25.73111942,93.98827528,2017-07-09,block_51_187
3776,NASA_GLC,27.125,93.7145,2011-07-15,block_54_187
4378,NASA_GLC,28.8254,96.1517,2012-06-02,block_57_192
6289,NASA_GLC,26.1001,91.6849,2014-09-22,block_52_183
11177,NASA_GLC,27.583849,91.876945,2017-07-11,block_55_183
10978,NASA_GLC,25.132228,93.04681,2017-04-04,block_50_186
10961,NASA_GLC,24.0135808,92.67420963,2017-04-25,block_48_185
