sample_id,latitude,longitude,spatial_block_id,landslide_label
sample_0,23.71701896,91.61577214,block_47_183,1
sample_1,26.3312531,94.55427723,block_52_189,1
sample_2,27.06992579,93.6146564,block_54_187,1
sample_3,27.54295099,88.59676956,block_55_177,1
sample_4,27.10647226,93.65975252,block_54_187,1
sample_5,26.0093,94.5238,block_52_189,1
sample_6,25.4916,91.2698,block_50_182,1
sample_7,25.0604,93.9877,block_50_187,1
sample_8,25.0985,94.3619,block_50_188,1
sample_9,25.8833,91.2,block_51_182,1
sample_10,27.0987,93.816,block_54_187,1
sample_11,26.09748244,91.8744337,block_52_183,1
sample_12,26.1844,91.7896,block_52_183,1
sample_13,27.1675,88.3651,block_54_176,1
sample_14,25.6623,94.1072,block_51_188,1
sample_15,27.2644,88.1365,block_54_176,1
sample_16,24.1077,94.0396,block_48_188,1
sample_17,24.7679,93.4108,block_49_186,1
sample_18,25.318,94.0441,block_50_188,1
sample_19,24.9926,93.4946,block_49_186,1
sample_20,26.1665,91.7049,block_52_183,1
sample_21,26.7225,95.0281,block_53_190,1
sample_22,24.6108,92.562,block_49_185,1
sample_23,24.0896,91.4663,block_48_182,1
sample_24,26.0814,94.803,block_52_189,1
sample_25,23.3572,92.7878,block_46_185,1
sample_26,26.4333,94.8833,block_52_189,1
sample_27,22.533,92.899,block_45_185,1
sample_28,26.1699,91.7986,block_52_183,1
sample_29,26.07821691,94.72071068,block_52_189,1
sample_30,27.23279809,88.59292517,block_54_177,1
sample_31,23.65637182,93.02746602,block_47_186,1
sample_32,27.104022,93.61156568,block_54_187,1
sample_33,26.96437841,92.78260587,block_53_185,1
sample_34,27.1344,88.4575,block_54_176,1
sample_35,27.8458,95.2253,block_55_190,1
sample_36,25.8376,94.5234,block_51_189,1
sample_37,25.1718,93.123,block_50_186,1
sample_38,27.5509,88.6475,block_55_177,1
sample_39,25.15246863,92.94670614,block_50_185,1
sample_40,24.7505,93.4221,block_49_186,1
sample_41,24.4638,92.4943,block_48_184,1
sample_42,24.8669,92.3576,block_49_184,1
sample_43,27.2333,94.1167,block_54_188,1
sample_44,24.3527,94.3429,block_48_188,1
sample_45,24.5202,92.7239,block_49_185,1
sample_46,27.2084,88.4909,block_54_176,1
