sample_id,latitude,longitude,spatial_block_id,elevation,slope,aspect,aspect_sin,aspect_cos,landslide_label
sample_0,23.71701896,91.61577214,block_47_183,83.3,21.3,162.77,0.296145,-0.955143,1
sample_68,23.0137,91.7174,block_46_183,24.58,5.9189,71.33,0.94735,0.320199,1
sample_160,23.8986,91.7599,block_47_183,176.42,10.1553,176.98,0.052762,-0.998607,1
sample_161,23.79260297,91.53090192,block_47_183,124.07,20.6741,132.32,0.739368,-0.673301,1
sample_300,23.86469956,91.8949662,block_47_183,127.11,2.4426,17.87,0.306843,0.95176,1
sample_4794,23.980333,91.475278,block_47_182,76.47,11.0158,40.13,0.644537,0.764573,1
sample_4797,23.85417,91.34361,block_47_182,14.44,0.1795,303.65,-0.832484,0.554049,1
sample_4798,23.751528,91.604533,block_47_183,85.58,11.1909,250.84,-0.944589,-0.328256,1
sample_4799,23.794253,91.553533,block_47_183,143.48,11.7631,14.95,0.25797,0.966153,1
sample_4800,23.725778,91.645694,block_47_183,77.1,4.6969,247.59,-0.924485,-0.381219,1
sample_5552,23.141858952590656,91.56688115252189,block_46_183,83.8,20.9892,134.14,0.717673,-0.69638,0
sample_5573,23.71401323988043,91.7203869598378,block_47_183,161.1,19.079,5.41,0.094343,0.99554,0
sample_5645,23.325627314598407,91.40072597602575,block_46_182,46.92,2.7855,187.79,-0.135467,-0.990782,0
sample_5667,23.41404919322758,91.61611654029305,block_46_183,132.29,19.9156,319.09,-0.654843,0.755765,0
sample_5709,23.2352804942564,91.57394998972322,block_46_183,34.75,5.0687,122.06,0.847481,-0.530826,0
sample_5750,23.72828821492973,91.91573539496028,block_47_183,121.19,4.1492,140.17,0.640574,-0.767896,0
sample_5831,23.781091492628693,91.2539015088837,block_47_182,13.86,6.1048,316.05,-0.694074,0.719903,0
sample_5863,23.742424655532353,91.53491984184699,block_47_183,124.73,5.5884,213.79,-0.556111,-0.831108,0
sample_5883,23.662102160326718,91.80744590103438,block_47_183,115.64,8.9316,189.46,-0.164303,-0.98641,0
sample_5907,23.942250355864893,91.89371584003136,block_47_183,105.24,19.0952,203.97,-0.406183,-0.913792,0
sample_5917,23.15799060161101,91.725610729163,block_46_183,47.5,4.2549,138.05,0.668496,-0.743716,0
